"player","season","team","s_c","gp","gs","w","l","t","ot","sa","svs","ga","sv_percent","gaa","toi","so","g","a","p","pim"
"Andrei Vasilevskiy",20212022,"TBL","L",36,36,25,7,"--",4,"1,037","956",81,0.922,2.23,"2183:20",2,0,0,0,4
"Juuse Saros",20212022,"NSH","L",38,38,24,11,"--",3,"1,210","1,122",88,0.927,2.35,"2251:02",2,0,0,0,0
"Frederik Andersen",20212022,"CAR","L",31,30,24,6,"--",1,"866","803",63,0.927,2.08,"1821:36",1,0,4,4,0
"Tristan Jarry",20212022,"PIT","L",37,35,23,8,"--",6,"1,058","977",81,0.923,2.21,"2197:13",3,0,2,2,6
"Sergei Bobrovsky",20212022,"FLA","L",32,32,23,4,"--",3,"985","906",79,0.92,2.56,"1854:21",1,0,0,0,2
"Igor Shesterkin",20212022,"NYR","L",29,28,22,5,"--",2,"935","876",59,0.937,2.1,"1688:51",3,0,0,0,0
"Jack Campbell",20212022,"TOR","L",32,31,21,6,"--",3,"929","859",70,0.925,2.3,"1824:36",4,0,0,0,0
"Darcy Kuemper",20212022,"COL","L",31,31,21,5,"--",2,"867","793",74,0.915,2.55,"1738:26",1,0,0,0,0
"Robin Lehner",20212022,"VGK","L",33,33,19,12,"--",1,"985","896",89,0.91,2.76,"1931:37",1,0,1,1,10
"Cam Talbot",20212022,"MIN","L",27,27,18,8,"--",1,"853","779",74,0.913,2.81,"1579:42",1,0,1,1,0
"Jacob Markstrom",20212022,"CGY","L",33,33,17,10,"--",5,"937","865",72,0.923,2.2,"1967:31",7,0,1,1,4
"Thatcher Demko",20212022,"VAN","L",34,34,17,15,"--",2,"1,057","969",88,0.917,2.62,"2017:14",1,0,1,1,2
"Linus Ullmark",20212022,"BOS","L",24,23,16,6,"--",1,"699","638",61,0.913,2.64,"1388:05",0,0,1,1,2
"Mikko Koskinen",20212022,"EDM","L",26,25,16,8,"--",2,"800","720",80,0.9,3.15,"1521:40",0,0,0,0,2
"John Gibson",20212022,"ANA","L",33,33,15,10,"--",8,"1,069","986",83,0.922,2.49,"1999:52",1,0,0,0,4
"Connor Hellebuyck",20212022,"WPG","L",35,35,14,15,"--",6,"1,117","1,017",100,0.91,2.9,"2067:11",2,0,1,1,0
"Marc-Andre Fleury",20212022,"CHI","L",33,33,14,16,"--",3,"1,009","916",93,0.908,2.93,"1901:38",3,0,0,0,2
