"player","game_date","team","s_c","pos","gp","g","a","p","x","pim","p_gp","evg","evp","ppg","ppp","shg","shp","otg","gwg","s","s_percent","toi_gp","fow_percent"
"Patrik Laine","2022-02-08","CBJ","R","L",1,2,1,3,-1,0,3,0,1,2,2,0,0,0,0,5,40,"17:39",NA
"Oliver Ekman-Larsson","2022-02-08","VAN","L","D",1,0,3,3,0,0,3,0,2,0,1,0,0,0,0,2,0,"22:04",NA
"David Pastrnak","2022-02-08","BOS","R","R",1,2,0,2,-1,0,2,1,1,1,1,0,0,0,0,4,50,"19:05",NA
"Danton Heinen","2022-02-08","PIT","L","L",1,2,0,2,2,0,2,2,2,0,0,0,0,0,0,3,66.7,"14:55",NA
"Michael McLeod","2022-02-08","NJD","R","C",1,2,0,2,2,0,2,2,2,0,0,0,0,0,0,2,100,"16:37",68.4
"Brady Tkachuk","2022-02-08","OTT","L","L",1,2,0,2,1,0,2,2,2,0,0,0,0,0,0,7,28.6,"21:05",66.7
"Reilly Smith","2022-02-08","VGK","L","R",1,1,1,2,3,0,2,1,1,0,0,0,1,0,0,2,50,"15:02",NA
"Nic Dowd","2022-02-08","WSH","R","C",1,1,1,2,1,0,2,1,2,0,0,0,0,0,0,3,33.3,"14:47",94.4
"Bryan Rust","2022-02-08","PIT","R","R",1,1,1,2,1,0,2,1,1,0,1,0,0,0,0,4,25,"20:02",NA
"Boone Jenner","2022-02-08","CBJ","L","C",1,1,1,2,-1,0,2,1,1,0,1,0,0,0,1,4,25,"22:38",28.6
"William Karlsson","2022-02-08","VGK","L","C",1,1,1,2,2,0,2,0,1,0,0,1,1,0,0,2,50,"15:06",55.6
"J.T. Miller","2022-02-08","VAN","L","C",1,1,1,2,1,0,2,1,1,0,1,0,0,0,0,3,33.3,"22:01",73.3
"Bo Horvat","2022-02-08","VAN","L","C",1,1,1,2,1,0,2,0,0,1,2,0,0,0,1,2,50,"19:26",68.8
"Pavel Zacha","2022-02-08","NJD","L","C",1,1,1,2,0,0,2,0,1,1,1,0,0,0,0,2,50,"13:30",71.4
"Jesper Boqvist","2022-02-08","NJD","L","C",1,1,1,2,2,0,2,1,2,0,0,0,0,0,0,2,50,"13:41",40
"Elias Pettersson","2022-02-08","VAN","L","C",1,1,1,2,1,0,2,1,1,0,1,0,0,0,0,1,100,"14:36",60
"Adam Boqvist","2022-02-08","CBJ","R","D",1,1,1,2,1,0,2,1,1,0,1,0,0,0,0,1,100,"13:40",NA
"Dawson Mercer","2022-02-08","NJD","R","C",1,1,1,2,2,0,2,1,2,0,0,0,0,0,1,4,25,"16:03",25
"Carl Hagelin","2022-02-08","WSH","L","L",1,0,2,2,1,0,2,0,2,0,0,0,0,0,0,1,0,"15:09",100
"Nick Holden","2022-02-08","OTT","L","D",1,0,2,2,2,2,2,0,2,0,0,0,0,0,0,1,0,"18:48",NA
"Gustav Nyquist","2022-02-08","CBJ","L","C",1,0,2,2,0,0,2,0,2,0,0,0,0,0,0,2,0,"17:25",100
"Taylor Hall","2022-02-08","BOS","L","L",1,0,2,2,-1,2,2,0,1,0,1,0,0,0,0,5,0,"15:37",NA
"Damon Severson","2022-02-08","NJD","R","D",1,0,2,2,1,2,2,0,1,0,1,0,0,0,0,2,0,"20:01",NA
"Jake Guentzel","2022-02-08","PIT","L","L",1,0,2,2,1,0,2,0,1,0,1,0,0,0,0,1,0,"21:51",NA
"Ryan Graves","2022-02-08","NJD","L","D",1,0,2,2,2,0,2,0,2,0,0,0,0,0,0,5,0,"21:00",NA
"Max Domi","2022-02-08","CBJ","L","C",1,0,2,2,2,0,2,0,2,0,0,0,0,0,0,0,NA,"14:40",NA
"Kyle Connor","2022-02-08","WPG","L","L",1,0,2,2,1,0,2,0,1,0,1,0,0,0,0,3,0,"22:02",NA
"Noah Juulsen","2022-02-08","VAN","R","D",1,0,2,2,1,0,2,0,2,0,0,0,0,0,0,1,0,"18:25",NA
"Ty Smith","2022-02-08","NJD","L","D",1,0,2,2,2,0,2,0,2,0,0,0,0,0,0,1,0,"19:42",NA
"Tim Stützle","2022-02-08","OTT","L","L",1,0,2,2,2,0,2,0,2,0,0,0,0,0,0,1,0,"20:44",25
"Sidney Crosby","2022-02-08","PIT","L","C",1,1,0,1,1,2,1,0,0,1,1,0,0,0,1,5,20,"22:27",45.8
"Brendan Smith","2022-02-08","CAR","L","D",1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,3,33.3,"11:59",NA
"Alex Pietrangelo","2022-02-08","VGK","R","D",1,1,0,1,2,0,1,1,1,0,0,0,0,0,0,3,33.3,"23:08",NA
