"player","season","team","s_c","pos","gp","g","a","p","x","pim","p_gp","evg","evp","ppg","ppp","shg","shp","otg","gwg","s","s_percent","toi_gp","fow_percent"
"Jonathan Huberdeau",20212022,"FLA","L","L",47,17,47,64,19,28,1.36,13,43,3,19,1,2,0,2,129,13.2,"19:11",33.3
"Leon Draisaitl",20212022,"EDM","L","C",42,32,31,63,6,22,1.5,18,37,13,25,1,1,1,8,149,21.5,"22:53",54.2
"Connor McDavid",20212022,"EDM","L","C",41,23,37,60,7,29,1.46,17,35,6,25,0,0,1,2,157,14.7,"22:40",51.8
"Nazem Kadri",20212022,"COL","L","C",41,19,41,60,20,46,1.46,13,41,6,19,0,0,0,5,141,13.5,"19:13",49.8
"Alex Ovechkin",20212022,"WSH","R","L",46,29,29,58,15,6,1.26,21,44,7,13,1,1,0,3,213,13.6,"21:51",37.5
"Mikko Rantanen",20212022,"COL","L","R",41,24,30,54,24,36,1.32,14,34,10,20,0,0,0,0,143,16.8,"20:46",45.9
"Johnny Gaudreau",20212022,"CGY","L","L",42,18,36,54,30,10,1.29,16,44,2,10,0,0,1,4,149,12.1,"18:40",100
"Auston Matthews",20212022,"TOR","L","C",40,31,22,53,9,10,1.33,20,33,11,20,0,0,1,5,180,17.2,"20:47",56.3
"Kirill Kaprizov",20212022,"MIN","L","L",40,19,34,53,19,16,1.33,16,41,3,12,0,0,1,3,143,13.3,"19:04",40
"Steven Stamkos",20212022,"TBL","R","C",45,20,32,52,12,14,1.16,12,36,8,16,0,0,2,4,127,15.8,"18:40",51.1
"Artemi Panarin",20212022,"NYR","R","L",42,13,39,52,1,14,1.24,9,29,4,23,0,0,1,4,106,12.3,"19:21",0
"Brad Marchand",20212022,"BOS","L","L",38,21,28,49,0,55,1.29,13,25,6,22,2,2,0,3,114,18.4,"19:15",37.5
"Mika Zibanejad",20212022,"NYR","R","C",47,18,31,49,14,10,1.04,8,26,10,20,0,3,0,1,135,13.3,"19:58",52.3
"Joe Pavelski",20212022,"DAL","R","C",43,19,29,48,15,8,1.12,12,34,7,14,0,0,0,1,115,16.5,"17:50",54.6
"Chris Kreider",20212022,"NYR","L","L",47,33,14,47,13,16,1,14,22,17,23,2,2,0,4,147,22.5,"18:59",54
"Timo Meier",20212022,"SJS","L","R",41,21,26,47,14,12,1.15,14,39,7,8,0,0,1,6,168,12.5,"18:57",44.4
"Victor Hedman",20212022,"TBL","L","D",46,10,37,47,15,20,1.02,8,29,2,18,0,0,1,3,115,8.7,"25:19",NA
"Adam Fox",20212022,"NYR","R","D",44,7,40,47,12,14,1.07,6,24,0,21,1,2,0,1,79,8.9,"24:26",NA
"Jake Guentzel",20212022,"PIT","L","L",40,23,23,46,6,26,1.15,18,33,5,13,0,0,1,5,146,15.8,"19:27",61.1
"Kyle Connor",20212022,"WPG","L","L",42,25,20,45,-3,2,1.07,20,30,4,14,1,1,1,4,190,13.2,"21:34",0
"Matthew Tkachuk",20212022,"CGY","L","L",42,20,25,45,24,32,1.07,14,32,6,13,0,0,0,3,142,14.1,"18:03",53.9
"Gabriel Landeskog",20212022,"COL","L","L",36,19,26,45,20,51,1.25,13,32,6,13,0,0,1,3,102,18.6,"20:21",55.4
"Sebastian Aho",20212022,"CAR","L","C",40,19,26,45,14,16,1.13,11,28,8,15,0,2,2,3,117,16.2,"19:00",52.8
"Evgeny Kuznetsov",20212022,"WSH","L","C",44,14,31,45,10,18,1.02,10,27,2,14,2,4,0,3,121,11.6,"21:21",42.6
"Dylan Larkin",20212022,"DET","L","C",42,23,21,44,3,29,1.05,19,37,4,7,0,0,3,4,128,18,"19:03",52.8
"Cale Makar",20212022,"COL","R","D",40,18,26,44,26,6,1.1,14,25,4,19,0,0,2,5,116,15.5,"25:03",NA
"Sam Reinhart",20212022,"FLA","R","C",44,16,28,44,18,6,1,11,30,5,12,0,2,0,3,99,16.2,"17:27",48.8
"J.T. Miller",20212022,"VAN","L","C",44,15,29,44,5,27,1,10,23,5,20,0,1,2,3,107,14,"21:09",53.8
"Roman Josi",20212022,"NSH","L","D",44,13,31,44,7,24,1,6,23,7,21,0,0,0,1,157,8.3,"25:03",NA
"David Pastrnak",20212022,"BOS","R","R",43,22,21,43,2,12,1,11,27,11,16,0,0,0,5,188,11.7,"19:00",46.2
"Nathan MacKinnon",20212022,"COL","R","C",31,9,34,43,5,12,1.39,6,28,3,15,0,0,0,2,137,6.6,"21:08",44.9
"John Tavares",20212022,"TOR","L","C",42,17,25,42,0,16,1,11,28,6,14,0,0,0,1,140,12.1,"18:27",61.3
"Jordan Kyrou",20212022,"STL","R","C",40,17,25,42,6,10,1.05,14,29,3,12,0,1,0,2,105,16.2,"16:18",55.6
"Anze Kopitar",20212022,"LAK","L","C",47,14,28,42,-5,8,0.89,10,28,4,13,0,1,0,2,130,10.8,"21:00",56.5
"Mats Zuccarello",20212022,"MIN","L","R",35,14,28,42,21,6,1.2,11,28,3,14,0,0,0,1,80,17.5,"18:56",48.3
"Jesper Bratt",20212022,"NJD","L","L",43,14,28,42,-2,16,0.98,11,32,3,10,0,0,0,5,117,12,"17:03",0
"Patrick Kane",20212022,"CHI","L","R",42,11,31,42,-16,10,1,7,26,4,16,0,0,0,2,157,7,"21:40",57.1
"Troy Terry",20212022,"ANA","R","R",43,25,16,41,1,14,0.95,18,29,7,12,0,0,2,7,99,25.3,"17:19",0
"Matt Duchene",20212022,"NSH","L","C",42,21,20,41,2,16,0.98,12,26,9,15,0,0,3,5,122,17.2,"18:58",55
"William Nylander",20212022,"TOR","R","R",43,17,24,41,-1,8,0.95,11,23,6,18,0,0,2,4,148,11.5,"18:53",56
"Jason Robertson",20212022,"DAL","L","L",35,17,24,41,16,14,1.17,11,30,6,11,0,0,0,5,94,18.1,"17:18",NA
"Alex Killorn",20212022,"TBL","L","L",46,15,26,41,4,38,0.89,12,33,3,8,0,0,0,1,86,17.4,"19:12",0
"Aaron Ekblad",20212022,"FLA","R","D",46,10,31,41,29,22,0.89,8,23,2,15,0,3,1,1,137,7.3,"25:17",NA
"Kris Letang",20212022,"PIT","R","D",42,5,36,41,16,26,0.98,4,25,1,16,0,0,1,1,115,4.4,"25:45",NA
"Tyler Bertuzzi",20212022,"DET","L","L",39,22,18,40,10,39,1.03,17,30,4,8,1,2,0,5,100,22,"19:51",35.7
"Aleksander Barkov",20212022,"FLA","L","C",34,21,19,40,17,6,1.18,11,26,6,10,4,4,1,3,113,18.6,"20:05",55.6
"Mitchell Marner",20212022,"TOR","R","R",34,16,24,40,12,4,1.18,11,26,3,12,2,2,1,4,95,16.8,"20:50",57.1
"Vladimir Tarasenko",20212022,"STL","L","R",40,15,25,40,-1,22,1,12,25,3,14,0,1,0,4,129,11.6,"17:10",57.1
"Sidney Crosby",20212022,"PIT","L","C",34,12,28,40,8,16,1.18,9,24,3,16,0,0,0,3,95,12.6,"19:38",50.1
"Morgan Rielly",20212022,"TOR","L","D",43,5,35,40,15,16,0.93,4,25,1,14,0,1,0,2,108,4.6,"24:22",NA
"Filip Forsberg",20212022,"NSH","R","L",33,24,14,38,7,10,1.15,20,28,4,10,0,0,1,6,96,25,"18:01",100
"Tomas Hertl",20212022,"SJS","L","C",46,22,16,38,-1,12,0.83,19,31,3,7,0,0,2,4,128,17.2,"19:28",53.6
"Clayton Keller",20212022,"ARI","L","R",45,17,21,38,-6,26,0.84,13,31,3,5,1,2,2,2,127,13.4,"19:56",37.7
"Andrei Svechnikov",20212022,"CAR","L","R",40,16,22,38,10,51,0.95,13,27,3,11,0,0,0,3,132,12.1,"17:11",0
"Chandler Stephenson",20212022,"VGK","L","C",43,12,26,38,3,16,0.88,10,29,1,7,1,2,0,2,63,19.1,"19:33",48.4
"Mikael Granlund",20212022,"NSH","L","C",44,6,32,38,7,17,0.86,5,24,1,14,0,0,0,1,66,9.1,"20:48",47.5
"Roope Hintz",20212022,"DAL","L","C",41,20,17,37,17,14,0.9,13,21,5,14,2,2,1,5,121,16.5,"17:22",51.1
"Carter Verhaeghe",20212022,"FLA","L","C",46,15,22,37,15,28,0.8,15,34,0,3,0,0,1,2,93,16.1,"16:39",80
"Elias Lindholm",20212022,"CGY","R","C",42,15,22,37,29,6,0.88,9,25,5,11,1,1,1,3,119,12.6,"20:20",53.5
"Alex DeBrincat",20212022,"CHI","R","L",46,26,10,36,-14,13,0.78,16,20,10,16,0,0,2,3,141,18.4,"20:24",29
"Cam Atkinson",20212022,"PHI","R","R",45,17,19,36,11,6,0.8,12,28,2,5,3,3,1,4,145,11.7,"18:04",40
"Pavel Buchnevich",20212022,"STL","L","L",38,15,21,36,14,20,0.95,9,21,5,13,1,2,1,3,114,13.2,"18:10",39.3
"Anthony Duclair",20212022,"FLA","L","L",39,19,16,35,24,8,0.9,16,28,3,7,0,0,1,3,85,22.4,"15:14",0
"Claude Giroux",20212022,"PHI","R","C",42,15,20,35,-6,16,0.83,12,24,3,11,0,0,0,0,111,13.5,"18:52",60.7
"Andre Burakovsky",20212022,"COL","L","L",42,14,21,35,9,14,0.83,11,28,3,7,0,0,0,2,81,17.3,"16:15",37.5
"Lucas Raymond",20212022,"DET","R","L",47,11,24,35,-2,6,0.74,8,25,3,10,0,0,1,1,99,11.1,"18:07",42.9
"Tony DeAngelo",20212022,"CAR","R","D",36,8,27,35,13,35,0.97,7,21,1,14,0,0,0,2,79,10.1,"19:42",NA
"Ivan Barbashev",20212022,"STL","L","C",43,15,19,34,4,22,0.79,10,24,4,8,1,2,0,1,71,21.1,"17:00",37.6
"Logan Couture",20212022,"SJS","L","C",42,14,20,34,2,12,0.81,10,24,2,7,2,3,1,2,104,13.5,"18:51",49.7
"Ryan Johansen",20212022,"NSH","R","C",43,13,21,34,0,26,0.79,9,22,4,12,0,0,0,3,68,19.1,"16:35",53.4
"Kevin Fiala",20212022,"MIN","L","L",41,13,21,34,10,24,0.83,11,26,2,8,0,0,0,1,131,9.9,"17:30",27.3
"Drake Batherson",20212022,"OTT","R","R",31,13,21,34,4,18,1.1,11,23,2,11,0,0,0,0,74,17.6,"18:58",53.9
"Patrice Bergeron",20212022,"BOS","R","C",42,12,22,34,9,24,0.81,7,16,5,16,0,2,0,2,158,7.6,"18:27",63
"John Carlson",20212022,"WSH","R","D",43,9,25,34,10,10,0.79,5,23,4,9,0,2,0,1,103,8.7,"23:44",NA
"Ryan Strome",20212022,"NYR","R","C",43,9,25,34,0,51,0.79,7,25,2,9,0,0,0,4,90,10,"18:21",45.7
"Quinn Hughes",20212022,"VAN","L","D",45,2,32,34,10,20,0.76,2,16,0,17,0,1,0,0,88,2.3,"25:13",NA
"Ryan Hartman",20212022,"MIN","R","R",41,18,15,33,32,46,0.8,17,30,1,3,0,0,1,5,132,13.6,"18:40",45.8
"Pierre-Luc Dubois",20212022,"WPG","L","L",42,18,15,33,-1,50,0.79,9,22,9,11,0,0,0,3,115,15.7,"18:49",44.8
"Ryan Nugent-Hopkins",20212022,"EDM","L","C",35,6,27,33,6,6,0.94,5,15,0,15,1,3,0,1,83,7.2,"20:20",39.4
